chart_appearances,track_id,title,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
14,68xBP3GnZuYEDlN4usyp4G,Don't You Give Up, Dansu,0.79,0.468,6,-7.152,0,0.0534,0.284,0.00203,0.0735,0.606,98.014,audio_features,68xBP3GnZuYEDlN4usyp4G,spotify:track:68xBP3GnZuYEDlN4usyp4G,https://api.spotify.com/v1/tracks/68xBP3GnZuYEDlN4usyp4G,https://api.spotify.com/v1/audio-analysis/68xBP3GnZuYEDlN4usyp4G,188963,4
6,6McFwtM0NucXFlY0Ah7H7r,藍色小貨車, 宋楚琳,0.679,0.193,0,-14.334,1,0.036,0.879,2e-06,0.163,0.36,94.983,audio_features,6McFwtM0NucXFlY0Ah7H7r,spotify:track:6McFwtM0NucXFlY0Ah7H7r,https://api.spotify.com/v1/tracks/6McFwtM0NucXFlY0Ah7H7r,https://api.spotify.com/v1/audio-analysis/6McFwtM0NucXFlY0Ah7H7r,233481,4
6,4zIO3ilp5HvTeK3HJHxhMP,Natural, Imagine Dragons,0.448,0.612,2,-6.106,1,0.0708,0.216,0.0,0.08,0.213,97.773,audio_features,4zIO3ilp5HvTeK3HJHxhMP,spotify:track:4zIO3ilp5HvTeK3HJHxhMP,https://api.spotify.com/v1/tracks/4zIO3ilp5HvTeK3HJHxhMP,https://api.spotify.com/v1/audio-analysis/4zIO3ilp5HvTeK3HJHxhMP,189467,4
2,4gB61mP4tNChn4LgfquMhi,Thru These Tears, LANY,0.711,0.517,11,-7.695,1,0.0391,0.154,0.0,0.149,0.294,119.945,audio_features,4gB61mP4tNChn4LgfquMhi,spotify:track:4gB61mP4tNChn4LgfquMhi,https://api.spotify.com/v1/tracks/4gB61mP4tNChn4LgfquMhi,https://api.spotify.com/v1/audio-analysis/4gB61mP4tNChn4LgfquMhi,204516,4
2,0U6h6BIv3HKpkp3ZKH9wCk,Back In Brazil, Paul McCartney,0.666,0.786,10,-8.573,1,0.0896,0.225,0.000218,0.0988,0.459,178.038,audio_features,0U6h6BIv3HKpkp3ZKH9wCk,spotify:track:0U6h6BIv3HKpkp3ZKH9wCk,https://api.spotify.com/v1/tracks/0U6h6BIv3HKpkp3ZKH9wCk,https://api.spotify.com/v1/audio-analysis/0U6h6BIv3HKpkp3ZKH9wCk,200902,4
1,3Tm3W8CN2k6ODbqAeGjjkY,New Levels, planetboom,0.669,0.807,6,-5.423,0,0.0386,0.00224,0.000154,0.316,0.841,145.026,audio_features,3Tm3W8CN2k6ODbqAeGjjkY,spotify:track:3Tm3W8CN2k6ODbqAeGjjkY,https://api.spotify.com/v1/tracks/3Tm3W8CN2k6ODbqAeGjjkY,https://api.spotify.com/v1/audio-analysis/3Tm3W8CN2k6ODbqAeGjjkY,247298,4
8,6nvuEO75YDMMwlx76CRb9g,答案, 杨坤,0.581,0.63,11,-7.736,1,0.0368,0.389,0.0,0.188,0.597,147.994,audio_features,6nvuEO75YDMMwlx76CRb9g,spotify:track:6nvuEO75YDMMwlx76CRb9g,https://api.spotify.com/v1/tracks/6nvuEO75YDMMwlx76CRb9g,https://api.spotify.com/v1/audio-analysis/6nvuEO75YDMMwlx76CRb9g,232733,4
3,7noud145AHZGg74vpWOsCa,Trip, Ella Mai,0.717,0.605,11,-5.68,0,0.075,0.214,0.0,0.138,0.387,81.047,audio_features,7noud145AHZGg74vpWOsCa,spotify:track:7noud145AHZGg74vpWOsCa,https://api.spotify.com/v1/tracks/7noud145AHZGg74vpWOsCa,https://api.spotify.com/v1/audio-analysis/7noud145AHZGg74vpWOsCa,217118,4
7,0ZMQmuzYluKZETsDjI6BQO,Human, Daniella Mason,0.887,0.278,2,-11.424,1,0.0796,0.805,0.0135,0.0962,0.516,134.05,audio_features,0ZMQmuzYluKZETsDjI6BQO,spotify:track:0ZMQmuzYluKZETsDjI6BQO,https://api.spotify.com/v1/tracks/0ZMQmuzYluKZETsDjI6BQO,https://api.spotify.com/v1/audio-analysis/0ZMQmuzYluKZETsDjI6BQO,181882,4
8,5ujzXla4Duu88FPpfJM9xB,"愛,存在", 魏奇奇,0.273,0.448,3,-9.648,1,0.0332,0.311,0.0,0.115,0.258,176.845,audio_features,5ujzXla4Duu88FPpfJM9xB,spotify:track:5ujzXla4Duu88FPpfJM9xB,https://api.spotify.com/v1/tracks/5ujzXla4Duu88FPpfJM9xB,https://api.spotify.com/v1/audio-analysis/5ujzXla4Duu88FPpfJM9xB,284195,4
